tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,depth_m,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf
168531334,0.20801443,-0.16909096,,0.11528243,-0.21203196,0.24042979,-0.12370516
168631334,0.21427768,-0.15600765,,0.1241419,-0.19698417,0.2461142,-0.112186104
168731334,-0.20924045,-0.14962517,,-0.2265497,-0.16895558,-0.18937212,-0.12671866
168831334,-0.25692207,-0.21495819,,-0.37766987,-0.3211142,-0.09643718,-0.165167
168931334,-0.33149624,-0.14642753,,-0.37887377,-0.20812225,-0.22831908,-0.10816993
169031334,-0.40333092,0.05644075,,-0.4285882,0.017536148,-0.33670628,0.08367358
169131334,-0.30363825,0.08754634,,-0.32088983,0.07081114,-0.2847383,0.10756762
169231334,-0.25185555,0.096057855,,-0.26498336,0.08290687,-0.23614156,0.11371595
169331334,-0.21603486,0.10163998,,-0.22916587,0.08765255,-0.20026812,0.11959228
169431334,-0.19967599,0.1721403,,-0.21246932,0.15794455,-0.18487671,0.18788998
169531334,-0.20982072,0.17224124,,-0.22235456,0.15842764,-0.19526935,0.18743925
169631334,-0.0094973035,-0.22250463,,-0.02418281,-0.23849678,0.003821753,-0.20139304
169731334,-0.029861204,-0.21050331,,-0.050661854,-0.2295432,-0.014952917,-0.17276697
169831334,0.07788394,-0.26909104,,0.055073313,-0.29734308,0.11793164,-0.24623272
169931334,0.06385457,-0.26902518,,0.0419866,-0.29750025,0.10263248,-0.24657884
170031334,-0.007822618,-0.27106363,,-0.021926245,-0.28822592,0.0062468275,-0.25478983
170131334,-0.015046427,-0.26092258,,-0.02870302,-0.2772822,-0.001258228,-0.24588355
170231334,-0.009773511,-0.25272894,,-0.023553321,-0.26966667,0.0042911116,-0.23735163
170331334,-0.17627677,-0.07782243,,-0.1897297,-0.09264482,-0.16173849,-0.06081567
170431334,-0.4385773,0.14363778,,-0.46082598,0.11092062,-0.37975883,0.16702752
170531334,-0.37545013,0.121644445,,-0.39160016,0.10567896,-0.35793722,0.13928162
170631334,-0.34542608,0.09651724,,-0.3607846,0.08082326,-0.3281253,0.11340682
170731334,0.033903874,-0.14755268,,0.014119295,-0.1657183,0.049179934,-0.1252368
170831334,0.15698709,-0.2252082,,0.13803415,-0.24465726,0.17527092,-0.20388563
170931334,0.14175469,-0.23129076,,0.11738221,-0.26071337,0.18116206,-0.20620401
171031334,0.081840724,-0.18796183,,0.056866646,-0.20801738,0.10075971,-0.16547714
171131334,0.07401118,-0.16159555,,0.05491475,-0.17868385,0.08907016,-0.1434595
171231334,0.09745669,-0.15800193,,0.06534931,-0.17992279,0.11577647,-0.13555722
